,action,episode,reward,reward_jam,reward_waiting,step,time,total_reward
18,"[0, 1, 0, 1, 0, 0, 1, 0, 1]",0,"[-32.3, -12.3, -26.9, -32.8, -16.2, -39.900000000000006, 0.0, -5.6, -21.3]","[-14, -11, -16, -21, -9, -18, 0, -4, -11]","[-183.0, -13.0, -109.0, -118.0, -72.0, -219.0, -0.0, -16.0, -103.0]",19.0,95,-187.3
19,"[1, 0, 0, 1, 1, 0, 1, 1, 1]",0,"[-29.4, -19.5, -33.900000000000006, -43.5, -16.7, -46.5, -2.4, -6.6, -26.8]","[-14, -14, -17, -30, -11, -19, -2, -4, -11]","[-154.0, -55.0, -169.0, -135.0, -57.0, -275.0, -4.0, -26.0, -158.0]",20.0,100,-225.3
20,"[1, 0, 0, 0, 0, 0, 1, 0, 1]",0,"[-21.9, -24.5, -42.400000000000006, -64.6, -32.5, -53.7, -9.7, -9.9, -22.5]","[-10, -14, -19, -42, -22, -20, -8, -6, -9]","[-119.0, -105.0, -234.0, -226.0, -105.0, -337.0, -17.0, -39.0, -135.0]",21.0,105,-281.70000000000005
21,"[0, 0, 0, 1, 0, 1, 0, 1, 1]",0,"[-23.4, -29.5, -51.3, -57.5, -43.2, -18.200000000000003, -14.100000000000001, 0.0, -18.1]","[-8, -14, -21, -35, -25, -9, -10, 0, -12]","[-154.0, -155.0, -303.0, -225.0, -182.0, -92.0, -41.0, -0.0, -61.0]",22.0,110,-255.29999999999998
22,"[0, 0, 1, 1, 0, 1, 0, 0, 0]",0,"[-28.3, -35.900000000000006, -55.0, -62.5, -58.0, -24.8, -26.6, -2.4, -18.0]","[-9, -15, -21, -40, -30, -15, -19, -2, -14]","[-193.0, -209.0, -340.0, -225.0, -280.0, -98.0, -76.0, -4.0, -40.0]",23.0,115,-311.5
23,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,"[-33.3, -47.2, -36.900000000000006, -77.6, -73.1, -42.0, -31.6, -4.3, -24.5]","[-10, -20, -17, -44, -34, -26, -19, -3, -16]","[-233.0, -272.0, -199.0, -336.0, -391.0, -160.0, -126.0, -13.0, -85.0]",24.0,120,-370.5
24,"[0, 1, 0, 0, 0, 1, 1, 1, 0]",0,"[-42.1, -47.6, -5.0, -101.30000000000001, -84.6, -34.9, -23.700000000000003, -5.300000000000001, -30.8]","[-14, -18, -5, -54, -34, -24, -15, -3, -16]","[-281.0, -296.0, -0.0, -473.0, -506.0, -109.0, -87.0, -23.0, -148.0]",25.0,125,-375.3
25,"[0, 0, 1, 1, 0, 0, 0, 1, 1]",0,"[-48.1, -50.5, -8.6, -79.4, -97.6, -41.2, -19.8, -2.4000000000000004, -37.3]","[-14, -16, -8, -48, -35, -24, -13, -1, -16]","[-341.0, -345.0, -6.0, -314.0, -626.0, -172.0, -68.0, -14.0, -213.0]",26.0,130,-384.90000000000003
26,"[1, 0, 1, 1, 1, 0, 0, 0, 1]",0,"[-37.2, -56.0, -20.9, -68.9, -91.2, -49.2, -20.6, -2.9000000000000004, -32.0]","[-14, -16, -17, -48, -29, -24, -11, -1, -12]","[-232.0, -400.0, -39.0, -209.0, -622.0, -252.0, -96.0, -19.0, -200.0]",27.0,135,-378.9
27,"[1, 0, 1, 1, 0, 1, 1, 0, 1]",0,"[-18.200000000000003, -62.900000000000006, -28.700000000000003, -69.2, -101.2, -59.6, -30.9, -3.4000000000000004, -27.3]","[-8, -17, -19, -50, -29, -26, -18, -1, -11]","[-102.0, -459.0, -97.0, -192.0, -722.0, -336.0, -129.0, -24.0, -163.0]",28.0,140,-401.40000000000003
28,"[0, 1, 1, 1, 0, 1, 0, 0, 0]",0,"[-28.1, -36.8, -24.5, -68.1, -115.9, -20.0, -35.7, -3.9000000000000004, -14.4]","[-13, -7, -17, -50, -33, -10, -18, -1, -8]","[-151.0, -298.0, -75.0, -181.0, -829.0, -100.0, -177.0, -29.0, -64.0]",29.0,145,-347.4
29,"[1, 0, 1, 0, 1, 0, 1, 1, 0]",0,"[-18.7, -33.900000000000006, -15.2, -82.3, -100.3, 0.0, -22.7, 0.0, -6.6]","[-11, -6, -14, -55, -28, 0, -15, 0, -4]","[-77.0, -279.0, -12.0, -273.0, -723.0, -0.0, -77.0, -0.0, -26.0]",30.0,150,-279.70000000000005
30,"[1, 0, 1, 0, 1, 1, 0, 1, 1]",0,"[-17.1, -40.400000000000006, -24.4, -101.80000000000001, -41.2, -7.4, -13.100000000000001, 0.0, -8.7]","[-9, -9, -20, -60, -19, -7, -8, 0, -5]","[-81.0, -314.0, -44.0, -418.0, -222.0, -4.0, -51.0, -0.0, -37.0]",31.0,155,-254.10000000000002
31,"[1, 1, 1, 0, 1, 0, 0, 1, 1]",0,"[-17.0, -25.8, -36.0, -118.2, -21.9, -11.5, -15.100000000000001, -1.4, -15.0]","[-11, -10, -25, -60, -19, -9, -8, -1, -9]","[-60.0, -158.0, -110.0, -582.0, -29.0, -25.0, -71.0, -4.0, -60.0]",32.0,160,-261.9
32,"[0, 0, 0, 1, 1, 1, 1, 0, 0]",0,"[-16.6, -16.6, -47.2, -94.80000000000001, -41.2, -16.4, -19.1, -5.5, -21.9]","[-11, -10, -28, -51, -30, -11, -10, -4, -12]","[-56.0, -66.0, -192.0, -438.0, -112.0, -54.0, -91.0, -15.0, -99.0]",33.0,165,-279.29999999999995
33,"[0, 1, 1, 0, 1, 1, 0, 0, 1]",0,"[-20.1, -9.8, -39.0, -66.2, -51.2, -19.4, -23.8, -9.8, -17.3]","[-11, -6, -23, -36, -33, -11, -12, -6, -10]","[-91.0, -38.0, -160.0, -302.0, -182.0, -84.0, -118.0, -38.0, -73.0]",34.0,170,-256.59999999999997
