,action,episode,reward,reward_jam,reward_waiting,step,time,total_reward
182,"[0, 0, 0, 1, 0, 1, 1, 0, 1]",0,"[-92.6, -10.2, -38.6, -96.0, -37.1, -5.1, -51.2, -21.1, -29.8]","[-36, -7, -28, -46, -27, -3, -43, -11, -13]","[-566.0, -32.0, -106.0, -500.0, -101.0, -21.0, -82.0, -101.0, -168.0]",183.0,915,-381.7
183,"[0, 0, 1, 1, 1, 1, 0, 0, 1]",0,"[-107.10000000000001, -15.5, -51.6, -83.30000000000001, -49.6, -3.3, -52.1, -25.1, -30.3]","[-39, -9, -39, -46, -34, -3, -40, -11, -15]","[-681.0, -65.0, -126.0, -373.0, -156.0, -3.0, -121.0, -141.0, -153.0]",184.0,920,-417.90000000000003
184,"[1, 1, 1, 0, 1, 0, 0, 1, 1]",0,"[-115.5, -19.0, -74.9, -44.9, -33.5, -9.6, -64.0, -14.3, -21.6]","[-38, -9, -49, -34, -23, -8, -40, -7, -13]","[-775.0, -100.0, -259.0, -109.0, -105.0, -16.0, -240.0, -73.0, -86.0]",185.0,925,-397.30000000000007
185,"[1, 1, 1, 1, 0, 1, 0, 1, 0]",0,"[-93.30000000000001, -11.7, -69.1, -37.4, -7.4, -13.2, -77.0, -21.0, -19.5]","[-34, -4, -41, -29, -6, -10, -40, -13, -15]","[-593.0, -77.0, -281.0, -84.0, -14.0, -32.0, -370.0, -80.0, -45.0]",186.0,930,-349.6
186,"[1, 1, 1, 1, 0, 1, 0, 1, 1]",0,"[-52.7, -12.0, -59.7, -49.1, -3.5, -18.1, -92.0, -9.4, -29.0]","[-30, -9, -38, -38, -3, -12, -42, -7, -19]","[-227.0, -30.0, -217.0, -111.0, -5.0, -61.0, -500.0, -24.0, -100.0]",187.0,935,-325.5
187,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,"[-36.6, -12.7, -51.7, -67.7, -11.7, -26.700000000000003, -105.0, -15.7, -41.7]","[-29, -9, -40, -52, -9, -17, -42, -10, -24]","[-76.0, -37.0, -117.0, -157.0, -27.0, -97.0, -630.0, -57.0, -177.0]",188.0,940,-369.5
188,"[1, 0, 0, 0, 0, 0, 1, 1, 0]",0,"[-49.3, -15.7, -59.900000000000006, -89.7, -23.6, -28.6, -91.5, -19.700000000000003, -50.2]","[-34, -9, -40, -59, -17, -15, -37, -10, -24]","[-153.0, -67.0, -199.0, -307.0, -66.0, -136.0, -545.0, -97.0, -262.0]",189.0,945,-428.2
189,"[0, 0, 1, 0, 1, 1, 0, 1, 1]",0,"[-66.5, -20.700000000000003, -74.7, -107.9, -24.9, -21.3, -56.7, -9.8, -42.5]","[-40, -11, -43, -60, -16, -14, -26, -4, -18]","[-265.0, -97.0, -317.0, -479.0, -89.0, -73.0, -307.0, -58.0, -245.0]",190.0,950,-425.0
190,"[0, 0, 1, 1, 0, 1, 1, 1, 1]",0,"[-81.1, -24.200000000000003, -70.6, -99.1, -30.8, -14.600000000000001, -26.9, -9.4, -38.5]","[-42, -11, -39, -56, -19, -10, -22, -7, -18]","[-391.0, -132.0, -316.0, -431.0, -118.0, -46.0, -49.0, -24.0, -205.0]",191.0,955,-395.2
191,"[1, 0, 0, 1, 0, 0, 0, 0, 0]",0,"[-85.0, -28.900000000000002, -48.3, -70.9, -38.1, -24.0, -24.1, -7.2, -31.700000000000003]","[-40, -12, -27, -46, -21, -16, -19, -5, -20]","[-450.0, -169.0, -213.0, -249.0, -171.0, -80.0, -51.0, -22.0, -117.0]",192.0,960,-358.2
192,"[1, 0, 1, 0, 0, 0, 1, 0, 1]",0,"[-74.9, -37.400000000000006, -33.1, -83.0, -49.900000000000006, -37.2, -40.1, -8.7, -23.4]","[-37, -16, -21, -60, -26, -24, -30, -5, -18]","[-379.0, -214.0, -121.0, -230.0, -239.0, -132.0, -101.0, -37.0, -54.0]",193.0,965,-387.7
193,"[1, 0, 0, 1, 1, 1, 0, 0, 0]",0,"[-54.2, -42.400000000000006, -27.2, -89.4, -41.400000000000006, -38.4, -58.6, -10.2, -28.0]","[-35, -16, -23, -64, -24, -27, -39, -5, -18]","[-192.0, -264.0, -42.0, -254.0, -174.0, -114.0, -196.0, -52.0, -100.0]",194.0,970,-389.80000000000007
194,"[1, 1, 1, 1, 1, 0, 1, 1, 0]",0,"[-36.7, -45.1, -38.9, -92.0, -35.5, -47.1, -72.9, -9.7, -38.400000000000006]","[-30, -16, -30, -62, -21, -29, -41, -5, -22]","[-67.0, -291.0, -89.0, -300.0, -145.0, -181.0, -319.0, -47.0, -164.0]",195.0,975,-416.29999999999995
195,"[0, 1, 0, 0, 1, 0, 1, 1, 0]",0,"[-48.5, -38.7, -56.5, -115.4, -25.7, -54.5, -64.0, -15.3, -50.6]","[-34, -16, -39, -68, -20, -29, -35, -8, -26]","[-145.0, -227.0, -175.0, -474.0, -57.0, -255.0, -290.0, -73.0, -246.0]",196.0,980,-469.20000000000005
196,"[0, 1, 0, 1, 1, 0, 1, 1, 1]",0,"[-65.8, -15.0, -73.8, -99.9, -33.3, -64.0, -43.4, -11.4, -60.1]","[-40, -10, -44, -57, -26, -31, -30, -7, -26]","[-258.0, -50.0, -298.0, -429.0, -73.0, -330.0, -134.0, -44.0, -341.0]",197.0,985,-466.70000000000005
197,"[0, 0, 1, 1, 0, 0, 1, 0, 1]",0,"[-79.30000000000001, -7.4, -90.80000000000001, -74.9, -43.3, -72.9, -35.0, -15.7, -55.5]","[-41, -4, -47, -52, -29, -32, -31, -8, -24]","[-383.0, -34.0, -438.0, -229.0, -143.0, -409.0, -40.0, -77.0, -315.0]",198.0,990,-474.80000000000007
198,"[0, 0, 0, 1, 1, 1, 0, 0, 1]",0,"[-93.2, -9.4, -108.1, -74.3, -35.5, -80.9, -42.4, -24.200000000000003, -38.6]","[-42, -4, -49, -61, -23, -32, -32, -12, -19]","[-512.0, -54.0, -591.0, -133.0, -125.0, -489.0, -104.0, -122.0, -196.0]",199.0,995,-506.6
199,"[0, 0, 0, 1, 1, 0, 1, 0, 0]",0,"[-107.2, -11.4, -123.60000000000001, -80.7, -36.5, -91.4, -57.900000000000006, -30.2, -30.4]","[-43, -4, -49, -63, -24, -34, -38, -13, -19]","[-642.0, -74.0, -746.0, -177.0, -125.0, -574.0, -199.0, -172.0, -114.0]",200.0,1000,-569.3000000000001
200,"[1, 0, 1, 0, 0, 1, 0, 0, 1]",0,"[-110.9, -13.4, -111.3, -105.0, -49.5, -60.7, -74.0, -35.2, -22.4]","[-42, -4, -45, -73, -29, -24, -42, -13, -17]","[-689.0, -94.0, -663.0, -320.0, -205.0, -367.0, -320.0, -222.0, -54.0]",201.0,1005,-582.4
201,"[0, 1, 0, 0, 0, 1, 0, 0, 1]",0,"[-121.9, -7.2, -90.30000000000001, -126.9, -58.0, -51.7, -92.6, -41.2, -26.6]","[-41, -2, -34, -76, -29, -29, -47, -14, -17]","[-809.0, -52.0, -563.0, -509.0, -290.0, -227.0, -456.0, -272.0, -96.0]",202.0,1010,-616.4
202,"[1, 1, 0, 0, 0, 0, 1, 0, 1]",0,"[-99.2, -10.4, -66.2, -148.3, -68.7, -34.6, -82.9, -47.800000000000004, -25.700000000000003]","[-34, -4, -26, -77, -31, -29, -41, -15, -17]","[-652.0, -64.0, -402.0, -713.0, -377.0, -56.0, -419.0, -328.0, -87.0]",203.0,1015,-583.8000000000001
203,"[0, 0, 1, 1, 1, 1, 0, 0, 0]",0,"[-59.4, -12.4, -35.9, -129.6, -44.0, -33.2, -55.2, -55.300000000000004, -23.3]","[-25, -4, -26, -66, -23, -25, -31, -16, -15]","[-344.0, -84.0, -99.0, -636.0, -210.0, -82.0, -242.0, -393.0, -83.0]",204.0,1020,-448.3
204,"[1, 0, 0, 1, 0, 1, 0, 1, 0]",0,"[-37.0, -14.4, -36.1, -99.5, -42.900000000000006, -45.4, -28.200000000000003, -43.900000000000006, -32.6]","[-23, -4, -25, -60, -20, -31, -19, -13, -18]","[-140.0, -104.0, -111.0, -395.0, -229.0, -144.0, -92.0, -309.0, -146.0]",205.0,1025,-380.00000000000006
205,"[0, 1, 1, 0, 0, 0, 1, 1, 1]",0,"[-35.8, -7.5, -42.8, -95.9, -49.400000000000006, -56.1, -24.8, -11.2, -32.7]","[-29, -4, -32, -64, -20, -34, -13, -6, -18]","[-68.0, -35.0, -108.0, -319.0, -294.0, -221.0, -118.0, -52.0, -147.0]",206.0,1030,-356.2
206,"[0, 1, 0, 0, 1, 0, 1, 0, 0]",0,"[-50.2, -7.4, -61.8, -114.2, -52.2, -64.1, -19.3, -17.200000000000003, -29.4]","[-35, -3, -41, -68, -20, -34, -17, -9, -19]","[-152.0, -44.0, -208.0, -462.0, -322.0, -301.0, -23.0, -82.0, -104.0]",207.0,1035,-415.79999999999995
207,"[0, 1, 0, 1, 0, 0, 0, 1, 1]",0,"[-71.7, -1.8, -81.1, -113.6, -65.6, -73.30000000000001, -31.5, -18.4, -12.9]","[-45, -1, -47, -68, -26, -35, -24, -11, -11]","[-267.0, -8.0, -341.0, -456.0, -396.0, -383.0, -75.0, -74.0, -19.0]",208.0,1040,-469.9
208,"[0, 0, 0, 0, 0, 0, 1, 0, 1]",0,"[-86.6, -12.4, -96.30000000000001, -106.0, -77.2, -84.2, -39.2, -22.9, -19.1]","[-47, -10, -48, -62, -29, -37, -24, -11, -15]","[-396.0, -24.0, -483.0, -440.0, -482.0, -472.0, -152.0, -119.0, -41.0]",209.0,1045,-543.9
209,"[0, 0, 1, 1, 0, 1, 0, 1, 0]",0,"[-101.1, -21.4, -113.30000000000001, -123.7, -86.2, -59.7, -48.2, -21.8, -31.1]","[-48, -16, -50, -66, -29, -28, -25, -9, -21]","[-531.0, -54.0, -633.0, -577.0, -572.0, -317.0, -232.0, -128.0, -101.0]",210.0,1050,-606.5
210,"[1, 0, 1, 0, 0, 1, 1, 0, 1]",0,"[-91.7, -25.700000000000003, -102.80000000000001, -141.9, -97.2, -43.7, -37.7, -26.900000000000002, -32.7]","[-41, -16, -47, -68, -31, -28, -20, -10, -18]","[-507.0, -97.0, -558.0, -739.0, -662.0, -157.0, -177.0, -169.0, -147.0]",211.0,1055,-600.3000000000001
211,"[0, 0, 1, 1, 0, 0, 0, 1, 0]",0,"[-96.2, -30.200000000000003, -92.30000000000001, -124.1, -108.9, -38.3, -9.7, -28.9, -40.2]","[-37, -16, -45, -65, -33, -31, -8, -16, -18]","[-592.0, -142.0, -473.0, -591.0, -759.0, -73.0, -17.0, -129.0, -222.0]",212.0,1060,-568.8000000000001
212,"[1, 1, 0, 0, 0, 1, 0, 1, 0]",0,"[-105.9, -35.8, -98.7, -78.2, -116.2, -33.0, -4.3, -15.8, -47.7]","[-38, -17, -50, -49, -31, -25, -3, -11, -18]","[-679.0, -188.0, -487.0, -292.0, -852.0, -80.0, -13.0, -48.0, -297.0]",213.0,1065,-535.6
213,"[0, 1, 0, 0, 1, 0, 1, 0, 0]",0,"[-116.4, -36.8, -112.7, -53.6, -74.0, -47.5, -18.8, -20.1, -56.6]","[-38, -17, -50, -32, -25, -33, -15, -13, -19]","[-784.0, -198.0, -627.0, -216.0, -490.0, -145.0, -38.0, -71.0, -376.0]",214.0,1070,-536.5
214,"[1, 1, 1, 1, 1, 0, 1, 1, 0]",0,"[-90.5, -24.3, -130.10000000000002, -56.8, -35.3, -55.0, -13.9, -21.8, -64.6]","[-31, -13, -54, -35, -21, -33, -11, -15, -19]","[-595.0, -113.0, -761.0, -218.0, -143.0, -220.0, -29.0, -68.0, -456.0]",215.0,1075,-492.30000000000007
215,"[1, 1, 1, 1, 0, 1, 1, 0, 0]",0,"[-50.1, -9.5, -146.60000000000002, -62.900000000000006, -49.7, -63.900000000000006, -22.2, -26.5, -72.6]","[-30, -8, -54, -41, -29, -34, -15, -14, -19]","[-201.0, -15.0, -926.0, -219.0, -207.0, -299.0, -72.0, -125.0, -536.0]",216.0,1080,-504.0
216,"[0, 1, 1, 1, 1, 1, 0, 0, 1]",0,"[-38.6, -20.3, -136.5, -58.900000000000006, -40.1, -43.2, -27.200000000000003, -32.5, -66.2]","[-32, -16, -45, -41, -28, -24, -15, -14, -18]","[-66.0, -43.0, -915.0, -179.0, -121.0, -192.0, -122.0, -185.0, -482.0]",217.0,1085,-463.5
217,"[0, 0, 0, 1, 0, 1, 1, 1, 1]",0,"[-48.2, -28.8, -115.9, -44.7, -44.7, -34.3, -13.3, -32.3, -22.6]","[-34, -20, -44, -37, -25, -24, -8, -12, -11]","[-142.0, -88.0, -719.0, -77.0, -197.0, -103.0, -53.0, -203.0, -116.0]",218.0,1090,-384.80000000000007
218,"[1, 1, 1, 0, 1, 1, 0, 1, 1]",0,"[-60.5, -30.6, -83.80000000000001, -43.9, -51.900000000000006, -32.9, -17.0, -33.2, -16.7]","[-39, -20, -37, -36, -28, -28, -9, -16, -15]","[-215.0, -106.0, -468.0, -79.0, -239.0, -49.0, -80.0, -172.0, -17.0]",219.0,1095,-370.5
219,"[1, 0, 0, 1, 1, 0, 1, 0, 1]",0,"[-71.4, -36.1, -76.2, -64.2, -45.5, -40.5, -23.5, -20.700000000000003, -23.7]","[-40, -20, -39, -50, -29, -30, -15, -12, -17]","[-314.0, -161.0, -372.0, -142.0, -165.0, -105.0, -85.0, -87.0, -67.0]",220.0,1100,-401.8
220,"[0, 0, 0, 1, 1, 1, 0, 1, 1]",0,"[-83.4, -44.900000000000006, -59.3, -60.0, -38.7, -50.7, -31.4, -7.7, -29.700000000000003]","[-40, -23, -44, -46, -30, -34, -18, -5, -20]","[-434.0, -219.0, -153.0, -140.0, -87.0, -167.0, -134.0, -27.0, -97.0]",221.0,1105,-405.8
221,"[1, 0, 1, 0, 0, 0, 0, 1, 1]",0,"[-73.1, -52.900000000000006, -63.900000000000006, -57.3, -61.400000000000006, -64.6, -36.900000000000006, -13.7, -14.1]","[-36, -24, -45, -43, -42, -39, -18, -10, -11]","[-371.0, -289.0, -189.0, -143.0, -194.0, -256.0, -189.0, -37.0, -31.0]",222.0,1110,-437.90000000000003
222,"[0, 0, 1, 0, 0, 1, 0, 1, 0]",0,"[-47.400000000000006, -64.5, -88.1, -65.0, -75.6, -45.3, -42.400000000000006, -14.100000000000001, -11.8]","[-29, -28, -56, -48, -43, -29, -18, -9, -9]","[-184.0, -365.0, -321.0, -170.0, -326.0, -163.0, -244.0, -51.0, -28.0]",223.0,1115,-454.2
223,"[1, 1, 0, 0, 1, 1, 1, 0, 1]",0,"[-25.7, -54.0, -109.80000000000001, -70.2, -62.900000000000006, -38.1, -23.9, -19.1, -17.2]","[-22, -25, -60, -43, -33, -29, -12, -10, -11]","[-37.0, -290.0, -498.0, -272.0, -299.0, -91.0, -119.0, -91.0, -62.0]",224.0,1120,-420.9
224,"[0, 0, 0, 1, 1, 1, 0, 1, 0]",0,"[-32.9, -36.5, -129.2, -86.1, -58.7, -33.6, -14.0, -21.8, -30.1]","[-24, -17, -61, -48, -34, -29, -6, -13, -18]","[-89.0, -195.0, -682.0, -381.0, -247.0, -46.0, -80.0, -88.0, -121.0]",225.0,1125,-442.90000000000003
225,"[1, 1, 1, 1, 0, 0, 1, 1, 1]",0,"[-39.9, -15.0, -123.60000000000001, -89.7, -69.1, -43.2, -22.9, -15.4, -34.3]","[-29, -11, -54, -51, -35, -33, -12, -11, -16]","[-109.0, -40.0, -696.0, -387.0, -341.0, -102.0, -109.0, -44.0, -183.0]",226.0,1130,-453.09999999999997
226,"[0, 1, 0, 1, 0, 1, 0, 0, 1]",0,"[-64.8, -22.5, -129.9, -79.6, -84.0, -49.0, -33.2, -21.4, -30.8]","[-43, -19, -51, -52, -39, -33, -17, -13, -14]","[-218.0, -35.0, -789.0, -276.0, -450.0, -160.0, -162.0, -84.0, -168.0]",227.0,1135,-515.1999999999999
227,"[1, 1, 1, 1, 1, 1, 0, 0, 0]",0,"[-76.30000000000001, -31.8, -127.0, -76.0, -65.7, -33.4, -40.900000000000006, -30.700000000000003, -20.3]","[-42, -23, -49, -53, -31, -24, -19, -16, -11]","[-343.0, -88.0, -780.0, -230.0, -347.0, -94.0, -219.0, -147.0, -93.0]",228.0,1140,-502.1
228,"[0, 0, 1, 0, 1, 0, 1, 1, 1]",0,"[-89.30000000000001, -38.3, -73.2, -72.3, -55.2, -22.0, -26.0, -27.9, -5.1]","[-42, -23, -38, -49, -33, -17, -15, -14, -5]","[-473.0, -153.0, -352.0, -233.0, -222.0, -50.0, -110.0, -139.0, -1.0]",229.0,1145,-409.30000000000007
229,"[0, 1, 1, 1, 1, 0, 0, 1, 1]",0,"[-103.7, -34.3, -47.7, -82.6, -51.7, -12.0, -25.0, -26.3, -9.0]","[-43, -20, -40, -49, -35, -11, -11, -12, -7]","[-607.0, -143.0, -77.0, -336.0, -167.0, -10.0, -140.0, -143.0, -20.0]",230.0,1150,-392.3
230,"[1, 0, 1, 1, 1, 0, 1, 1, 0]",0,"[-86.80000000000001, -23.6, -52.9, -74.1, -49.1, -5.0, -26.3, -23.5, -18.7]","[-34, -13, -42, -47, -36, -3, -12, -11, -13]","[-528.0, -106.0, -109.0, -271.0, -131.0, -20.0, -143.0, -125.0, -57.0]",231.0,1155,-360.0
231,"[0, 0, 0, 1, 0, 0, 1, 1, 1]",0,"[-62.5, -19.5, -50.8, -84.30000000000001, -58.400000000000006, -6.0, -8.6, -15.600000000000001, -26.700000000000003]","[-32, -7, -37, -52, -38, -3, -6, -10, -16]","[-305.0, -125.0, -138.0, -323.0, -204.0, -30.0, -26.0, -56.0, -107.0]",232.0,1160,-332.40000000000003
232,"[0, 1, 0, 1, 0, 1, 1, 1, 0]",0,"[-26.4, -16.1, -30.8, -90.4, -69.5, -12.8, -13.4, -16.4, -33.3]","[-21, -9, -22, -50, -38, -11, -11, -13, -16]","[-54.0, -71.0, -88.0, -404.0, -315.0, -18.0, -24.0, -34.0, -173.0]",233.0,1165,-309.09999999999997
233,"[1, 0, 1, 0, 1, 1, 1, 0, 1]",0,"[-24.2, -14.3, -32.0, -87.0, -61.5, -18.0, -15.4, -22.700000000000003, -31.900000000000002]","[-20, -12, -22, -40, -34, -15, -11, -14, -15]","[-42.0, -23.0, -100.0, -470.0, -275.0, -30.0, -44.0, -87.0, -169.0]",234.0,1170,-307.0
234,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",0,"[-30.7, -20.5, -39.0, -104.7, -45.1, -32.8, -22.700000000000003, -34.0, -23.3]","[-23, -15, -26, -47, -25, -25, -14, -18, -12]","[-77.0, -55.0, -130.0, -577.0, -201.0, -78.0, -87.0, -160.0, -113.0]",235.0,1175,-352.8
235,"[1, 0, 0, 1, 0, 0, 1, 1, 1]",0,"[-34.8, -24.1, -57.3, -93.7, -54.400000000000006, -48.5, -22.4, -29.3, -4.1]","[-27, -15, -36, -41, -28, -33, -12, -13, -4]","[-78.0, -91.0, -213.0, -527.0, -264.0, -155.0, -104.0, -163.0, -1.0]",236.0,1180,-368.6
236,"[1, 0, 1, 0, 0, 1, 0, 1, 0]",0,"[-47.3, -28.6, -54.9, -73.5, -66.4, -51.900000000000006, -25.9, -31.4, -9.0]","[-32, -15, -39, -34, -31, -33, -12, -16, -7]","[-153.0, -136.0, -159.0, -395.0, -354.0, -189.0, -139.0, -154.0, -20.0]",237.0,1185,-388.90000000000003
237,"[0, 1, 0, 1, 0, 0, 0, 1, 0]",0,"[-65.7, -37.6, -73.0, -78.0, -77.9, -59.400000000000006, -31.6, -14.100000000000001, -15.4]","[-40, -19, -46, -40, -33, -33, -14, -9, -10]","[-257.0, -186.0, -270.0, -380.0, -449.0, -264.0, -176.0, -51.0, -54.0]",238.0,1190,-452.7
238,"[0, 1, 1, 0, 1, 1, 0, 1, 1]",0,"[-86.4, -34.1, -96.80000000000001, -78.7, -82.5, -47.1, -36.8, -21.1, -23.200000000000003]","[-47, -21, -55, -47, -32, -27, -15, -16, -13]","[-394.0, -131.0, -418.0, -317.0, -505.0, -201.0, -218.0, -51.0, -102.0]",239.0,1195,-506.7
239,"[1, 0, 0, 0, 1, 0, 0, 0, 1]",0,"[-77.30000000000001, -23.3, -118.0, -102.9, -56.5, -38.3, -42.8, -33.5, -26.200000000000003]","[-39, -13, -59, -58, -26, -25, -16, -22, -12]","[-383.0, -103.0, -590.0, -449.0, -305.0, -133.0, -268.0, -115.0, -142.0]",240.0,1200,-518.8000000000001
240,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0,"[-73.2, -18.4, -100.30000000000001, -117.9, -32.6, -23.4, -24.4, -48.7, -22.8]","[-35, -13, -46, -58, -26, -18, -14, -28, -10]","[-382.0, -54.0, -543.0, -599.0, -66.0, -54.0, -104.0, -207.0, -128.0]",241.0,1205,-461.7
241,"[1, 1, 0, 0, 0, 0, 0, 1, 1]",0,"[-44.5, -24.5, -87.0, -132.9, -39.6, -33.9, -12.2, -47.3, -17.7]","[-26, -21, -41, -58, -30, -23, -7, -28, -11]","[-185.0, -35.0, -460.0, -749.0, -96.0, -109.0, -52.0, -193.0, -67.0]",242.0,1210,-439.59999999999997
242,"[1, 1, 0, 0, 0, 1, 0, 1, 1]",0,"[-26.2, -37.7, -65.0, -150.5, -49.0, -36.6, -17.9, -47.1, -14.8]","[-24, -28, -38, -60, -31, -26, -10, -31, -12]","[-22.0, -97.0, -270.0, -905.0, -180.0, -106.0, -79.0, -161.0, -28.0]",243.0,1215,-444.8
243,"[1, 0, 1, 0, 1, 1, 0, 0, 0]",0,"[-32.5, -42.900000000000006, -52.400000000000006, -168.7, -43.0, -45.6, -20.9, -50.2, -21.6]","[-26, -25, -34, -62, -26, -34, -10, -35, -15]","[-65.0, -179.0, -184.0, -1067.0, -170.0, -116.0, -109.0, -152.0, -66.0]",244.0,1220,-477.8
244,"[0, 0, 1, 1, 1, 1, 1, 1, 0]",0,"[-52.3, -51.400000000000006, -35.8, -159.10000000000002, -58.8, -44.7, -25.200000000000003, -38.0, -27.1]","[-38, -25, -28, -55, -34, -30, -11, -28, -15]","[-143.0, -264.0, -78.0, -1041.0, -248.0, -147.0, -142.0, -100.0, -121.0]",245.0,1225,-492.40000000000003
245,"[1, 1, 0, 1, 0, 1, 1, 0, 1]",0,"[-58.8, -31.1, -28.5, -151.5, -71.5, -38.7, -10.1, -43.900000000000006, -30.400000000000002]","[-43, -14, -22, -54, -37, -28, -7, -26, -14]","[-158.0, -171.0, -65.0, -975.0, -345.0, -107.0, -31.0, -179.0, -164.0]",246.0,1230,-464.5
246,"[0, 0, 0, 1, 1, 1, 0, 1, 1]",0,"[-47.0, -26.8, -41.6, -116.3, -50.900000000000006, -27.6, -5.2, -58.400000000000006, -28.200000000000003]","[-33, -11, -29, -50, -29, -23, -3, -31, -13]","[-140.0, -158.0, -126.0, -663.0, -219.0, -46.0, -22.0, -274.0, -152.0]",247.0,1235,-402.0
247,"[0, 0, 0, 1, 0, 1, 0, 0, 1]",0,"[-33.1, -33.6, -57.3, -104.6, -20.9, -36.1, -6.2, -72.7, -19.6]","[-21, -12, -35, -51, -12, -29, -3, -34, -11]","[-121.0, -216.0, -223.0, -536.0, -89.0, -71.0, -32.0, -387.0, -86.0]",248.0,1240,-384.1
248,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",0,"[-28.1, -40.7, -75.5, -101.4, -22.4, -46.8, -3.9000000000000004, -87.6, -13.0]","[-12, -13, -41, -56, -10, -32, -2, -36, -11]","[-161.0, -277.0, -345.0, -454.0, -124.0, -148.0, -19.0, -516.0, -20.0]",249.0,1245,-419.4
249,"[1, 0, 1, 1, 1, 0, 0, 1, 1]",0,"[-25.0, -47.2, -65.6, -103.5, -30.4, -57.1, -8.1, -77.5, -16.4]","[-14, -13, -35, -55, -17, -33, -5, -33, -11]","[-110.0, -342.0, -306.0, -485.0, -134.0, -241.0, -31.0, -445.0, -54.0]",250.0,1250,-430.79999999999995
250,"[1, 0, 1, 1, 0, 0, 0, 1, 0]",0,"[-15.0, -53.7, -57.6, -109.0, -35.400000000000006, -68.7, -15.3, -54.8, -23.6]","[-13, -13, -34, -56, -17, -35, -10, -31, -13]","[-20.0, -407.0, -236.0, -530.0, -184.0, -337.0, -53.0, -238.0, -106.0]",251.0,1255,-433.1
251,"[1, 1, 1, 1, 0, 0, 0, 0, 0]",0,"[-27.4, -34.6, -50.3, -87.7, -40.400000000000006, -82.6, -21.5, -44.8, -32.7]","[-21, -9, -36, -42, -17, -38, -13, -29, -16]","[-64.0, -256.0, -143.0, -457.0, -234.0, -446.0, -85.0, -158.0, -167.0]",252.0,1260,-422.0
252,"[0, 0, 0, 1, 1, 0, 0, 0, 0]",0,"[-44.4, -15.3, -50.4, -98.4, -26.8, -94.80000000000001, -27.6, -47.7, -41.5]","[-30, -7, -39, -55, -19, -39, -15, -34, -18]","[-144.0, -83.0, -114.0, -434.0, -78.0, -558.0, -126.0, -137.0, -235.0]",253.0,1265,-446.90000000000003
253,"[1, 1, 0, 1, 1, 1, 0, 0, 1]",0,"[-58.5, -5.1, -68.8, -94.4, -34.6, -82.9, -36.900000000000006, -57.0, -45.7]","[-40, -5, -46, -52, -23, -32, -19, -33, -16]","[-185.0, -1.0, -228.0, -424.0, -116.0, -509.0, -179.0, -240.0, -297.0]",254.0,1270,-483.9
254,"[1, 0, 1, 1, 0, 1, 1, 0, 1]",0,"[-45.3, -10.6, -87.80000000000001, -74.3, -51.1, -60.6, -26.9, -70.2, -39.5]","[-33, -9, -50, -60, -32, -28, -17, -35, -14]","[-123.0, -16.0, -378.0, -143.0, -191.0, -326.0, -99.0, -352.0, -255.0]",255.0,1275,-466.30000000000007
255,"[1, 1, 1, 1, 0, 1, 1, 0, 1]",0,"[-57.9, -17.0, -89.1, -72.0, -66.7, -27.7, -26.200000000000003, -81.7, -23.0]","[-42, -13, -41, -58, -38, -24, -18, -35, -11]","[-159.0, -40.0, -481.0, -140.0, -287.0, -37.0, -82.0, -467.0, -120.0]",256.0,1280,-461.3
256,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",0,"[-70.6, -21.4, -92.80000000000001, -64.0, -76.6, -37.0, -37.1, -95.5, -16.8]","[-43, -14, -47, -52, -38, -28, -24, -37, -14]","[-276.0, -74.0, -458.0, -120.0, -386.0, -90.0, -131.0, -585.0, -28.0]",257.0,1285,-511.8
257,"[0, 1, 1, 0, 1, 0, 0, 1, 0]",0,"[-75.7, -27.6, -98.0, -67.2, -57.5, -45.400000000000006, -44.6, -94.4, -19.6]","[-43, -18, -51, -50, -29, -29, -25, -33, -13]","[-327.0, -96.0, -470.0, -172.0, -285.0, -164.0, -196.0, -614.0, -66.0]",258.0,1290,-530.0
258,"[1, 1, 0, 0, 0, 1, 1, 0, 0]",0,"[-82.6, -22.0, -112.9, -70.5, -48.3, -56.400000000000006, -39.6, -108.2, -27.0]","[-42, -14, -52, -46, -23, -31, -26, -35, -15]","[-406.0, -80.0, -609.0, -245.0, -253.0, -254.0, -136.0, -732.0, -120.0]",259.0,1295,-567.5
259,"[0, 1, 0, 1, 0, 1, 0, 0, 1]",0,"[-65.9, -18.3, -128.8, -76.4, -52.900000000000006, -43.3, -40.8, -120.2, -34.5]","[-35, -14, -52, -42, -21, -23, -23, -35, -16]","[-309.0, -43.0, -768.0, -344.0, -319.0, -203.0, -178.0, -852.0, -185.0]",260.0,1300,-581.1
260,"[0, 0, 0, 1, 0, 1, 1, 1, 0]",0,"[-42.7, -20.3, -144.8, -72.6, -61.400000000000006, -23.5, -59.3, -117.60000000000001, -42.5]","[-24, -13, -52, -44, -22, -16, -33, -32, -17]","[-187.0, -73.0, -928.0, -286.0, -394.0, -75.0, -263.0, -856.0, -255.0]",261.0,1305,-584.7
